,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
68,26,90000,RENT,8.0,PERSONAL,D,15000,10.99,0,0.17,Y,3
69,25,67000,RENT,9.0,PERSONAL,C,5000,13.92,1,0.07,Y,4
70,35,100000,MORTGAGE,19.0,VENTURE,B,1800,9.63,0,0.02,N,8
71,24,16800,RENT,1.0,EDUCATION,C,5000,14.22,1,0.3,Y,4
72,26,80000,RENT,11.0,VENTURE,A,15000,8.49,0,0.19,N,2
73,23,70000,RENT,7.0,DEBTCONSOLIDATION,B,1600,11.14,0,0.02,N,4
74,33,99300,MORTGAGE,11.0,MEDICAL,A,7500,5.79,0,0.08,N,7
75,25,150000,MORTGAGE,9.0,EDUCATION,A,8200,5.79,0,0.05,N,3
76,25,57300,RENT,2.0,HOMEIMPROVEMENT,C,10400,11.66,0,0.18,Y,4
77,31,50100,RENT,5.0,DEBTCONSOLIDATION,B,6000,10.0,0,0.12,N,5
78,24,39996,MORTGAGE,4.0,EDUCATION,C,5000,14.82,0,0.13,Y,3
79,23,70000,OWN,4.0,VENTURE,A,11000,7.14,0,0.16,N,4
80,22,60000,MORTGAGE,1.0,EDUCATION,A,4800,7.49,0,0.08,N,3
81,24,60000,RENT,4.0,VENTURE,A,5850,7.49,0,0.1,N,3
82,25,63000,MORTGAGE,0.0,EDUCATION,D,25000,13.87,0,0.4,N,2
83,24,71004,MORTGAGE,8.0,DEBTCONSOLIDATION,D,5000,14.96,1,0.07,Y,3
84,25,62467,RENT,1.0,HOMEIMPROVEMENT,B,7250,10.65,0,0.12,N,4
85,21,40000,OWN,1.0,PERSONAL,C,15000,13.16,0,0.38,Y,4
86,28,40000,RENT,0.0,MEDICAL,C,5600,13.49,0,0.14,N,8
87,24,141000,MORTGAGE,0.0,VENTURE,A,10000,5.99,0,0.07,N,3
88,35,84000,OWN,4.0,HOMEIMPROVEMENT,A,9000,6.76,0,0.11,N,6
89,24,35000,RENT,0.0,MEDICAL,A,1800,7.14,0,0.05,N,2
90,27,223000,RENT,2.0,EDUCATION,F,25000,18.3,1,0.11,N,9
91,24,26000,RENT,5.0,VENTURE,C,12000,14.26,1,0.46,N,3
92,25,120000,RENT,6.0,PERSONAL,C,5000,13.79,0,0.04,N,3
93,24,60000,MORTGAGE,8.0,MEDICAL,A,13000,7.29,0,0.22,N,2
94,40,71599,RENT,0.0,EDUCATION,A,6000,9.63,0,0.08,N,17
95,33,87550,RENT,0.0,MEDICAL,C,9000,14.65,1,0.09,Y,7
96,25,41718,OWN,3.0,VENTURE,A,5000,7.51,0,0.12,N,2
97,25,32640,RENT,4.0,DEBTCONSOLIDATION,C,4000,12.73,0,0.12,Y,4
98,30,32000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,6625,14.79,0,0.21,N,10
99,24,85000,RENT,1.0,MEDICAL,C,9000,13.92,0,0.11,N,4
100,24,105000,MORTGAGE,8.0,MEDICAL,B,6000,9.99,0,0.06,N,2
101,22,76000,RENT,4.0,EDUCATION,A,12000,7.9,0,0.16,N,4
102,33,36000,MORTGAGE,3.0,PERSONAL,A,7800,7.14,0,0.22,N,10
103,23,27600,RENT,6.0,EDUCATION,A,6800,8.9,0,0.25,N,3
104,30,43000,RENT,3.0,VENTURE,A,15000,10.99,1,0.35,N,8
105,27,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,15000,7.49,0,0.21,N,8
106,22,90888,MORTGAGE,5.0,EDUCATION,C,13200,14.79,0,0.15,N,4
107,25,36000,RENT,1.0,MEDICAL,D,15000,15.05,1,0.42,Y,2
108,22,59000,RENT,2.0,DEBTCONSOLIDATION,F,12000,17.58,1,0.2,N,4
109,31,54000,RENT,15.0,MEDICAL,C,1000,10.99,0,0.02,Y,7
110,22,50000,RENT,2.0,PERSONAL,C,8000,13.16,0,0.16,Y,2
111,29,74000,MORTGAGE,8.0,EDUCATION,B,25000,11.49,0,0.34,N,6
112,26,135000,MORTGAGE,10.0,DEBTCONSOLIDATION,C,24000,12.99,0,0.18,N,2
113,29,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,10000,13.85,0,0.14,N,7
114,26,160000,RENT,3.0,HOMEIMPROVEMENT,B,20000,9.99,0,0.13,N,3
115,28,245000,MORTGAGE,0.0,PERSONAL,E,18000,17.39,0,0.07,Y,9
116,28,30000,RENT,5.0,PERSONAL,B,2400,9.25,0,0.08,N,6
117,22,60000,MORTGAGE,6.0,MEDICAL,A,8000,8.07,0,0.13,N,4
118,27,73660,RENT,4.0,HOMEIMPROVEMENT,E,12000,14.18,0,0.16,N,7
119,26,29000,RENT,11.0,EDUCATION,A,6600,10.99,0,0.23,N,3
120,40,136000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,21000,9.99,0,0.15,N,16
121,25,54084,RENT,5.0,HOMEIMPROVEMENT,B,3500,9.25,0,0.06,N,2
122,33,135000,MORTGAGE,6.0,MEDICAL,B,22250,10.99,0,0.16,N,9
123,25,28000,MORTGAGE,4.0,MEDICAL,A,9600,6.03,0,0.34,N,3
124,24,54000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,1500,5.42,1,0.03,N,3
125,32,33600,OWN,0.0,EDUCATION,D,8000,16.02,0,0.24,N,7
126,29,60000,RENT,4.0,VENTURE,B,8000,11.14,0,0.13,N,5
127,26,42000,MORTGAGE,0.0,VENTURE,B,4500,11.48,0,0.11,N,3
128,24,61200,MORTGAGE,8.0,EDUCATION,C,2500,10.99,1,0.04,N,4
129,24,51000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,12000,10.99,1,0.24,N,3
130,24,62000,RENT,3.0,HOMEIMPROVEMENT,C,10000,13.49,0,0.16,Y,3
131,22,19200,RENT,6.0,PERSONAL,B,4400,11.49,1,0.23,N,2
132,23,54504,RENT,1.0,PERSONAL,E,20000,16.7,1,0.37,Y,4
133,23,22080,MORTGAGE,3.0,EDUCATION,A,6700,10.99,0,0.3,N,4
134,33,25700,RENT,3.0,EDUCATION,B,6700,10.99,0,0.26,N,10
135,26,35000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,2500,9.25,0,0.07,N,3
136,21,20004,OWN,2.0,EDUCATION,B,2500,9.63,0,0.12,N,3
137,22,51300,OWN,6.0,PERSONAL,D,11200,15.31,0,0.22,Y,3
138,22,15360,OWN,7.0,HOMEIMPROVEMENT,B,2500,12.53,1,0.16,N,3
139,28,81000,MORTGAGE,0.0,VENTURE,C,5000,12.53,0,0.06,N,9
140,27,65000,RENT,5.0,EDUCATION,C,15000,12.84,0,0.23,Y,5
141,22,50004,MORTGAGE,4.0,DEBTCONSOLIDATION,A,6250,10.99,0,0.12,N,4
142,29,100000,MORTGAGE,5.0,PERSONAL,A,10000,7.49,0,0.1,N,6
143,23,61200,RENT,4.0,MEDICAL,B,20000,11.14,1,0.28,N,2
144,22,36000,RENT,3.0,EDUCATION,D,9600,17.27,1,0.27,Y,4
145,27,45500,OWN,11.0,VENTURE,C,14000,13.92,0,0.31,Y,6
146,27,88000,RENT,11.0,DEBTCONSOLIDATION,A,9000,6.91,0,0.1,N,10
147,30,82060,RENT,1.0,EDUCATION,A,7200,10.99,0,0.09,N,7
148,30,80000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,12000,10.99,0,0.15,N,8
149,22,39000,MORTGAGE,1.0,VENTURE,F,5000,18.21,1,0.13,Y,4
150,23,83004,MORTGAGE,7.0,VENTURE,C,3500,12.61,0,0.04,Y,2
151,22,61402,MORTGAGE,7.0,EDUCATION,B,10800,9.99,0,0.18,N,2
152,33,75000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,7500,10.08,1,0.1,N,9
153,40,35000,MORTGAGE,3.0,EDUCATION,B,4000,10.37,0,0.11,N,17
154,22,58896,MORTGAGE,6.0,EDUCATION,A,9500,6.76,0,0.16,N,4
155,24,29200,MORTGAGE,6.0,DEBTCONSOLIDATION,A,2500,6.76,0,0.09,N,2
156,25,62047,RENT,9.0,MEDICAL,E,21000,16.32,1,0.29,Y,4
157,24,20000,RENT,0.0,MEDICAL,C,8000,12.41,1,0.4,Y,4
158,28,75000,RENT,4.0,EDUCATION,A,6000,6.92,0,0.08,N,6
159,33,77000,RENT,7.0,HOMEIMPROVEMENT,D,13000,10.99,0,0.17,N,7
160,22,28800,RENT,6.0,EDUCATION,B,8000,11.49,0,0.28,N,2
161,31,45000,RENT,0.0,EDUCATION,C,4000,13.43,0,0.09,N,6
162,24,82000,MORTGAGE,1.0,EDUCATION,A,7500,8.32,0,0.09,N,3
163,25,31200,MORTGAGE,9.0,HOMEIMPROVEMENT,D,2400,17.58,1,0.08,Y,4
164,26,109000,MORTGAGE,10.0,PERSONAL,A,15000,6.99,0,0.14,N,4
165,21,23000,RENT,5.0,EDUCATION,B,6000,10.95,0,0.26,N,2
166,33,58800,RENT,10.0,VENTURE,B,3000,11.49,0,0.05,N,5
167,23,65000,MORTGAGE,0.0,EDUCATION,A,8200,6.62,0,0.13,N,4
168,27,52000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,8000,8.9,0,0.15,N,10
169,30,49000,MORTGAGE,9.0,EDUCATION,A,11750,8.9,0,0.24,N,9
170,26,83000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,25000,10.99,0,0.3,N,3
171,22,48000,MORTGAGE,0.0,MEDICAL,A,5000,6.03,0,0.1,N,4
172,25,49000,MORTGAGE,9.0,PERSONAL,A,7000,6.99,0,0.14,N,3
173,26,52800,RENT,4.0,VENTURE,B,8975,10.99,0,0.17,N,2
174,24,56000,RENT,6.0,PERSONAL,A,9000,7.29,0,0.16,N,2
175,31,82000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,9000,5.42,0,0.11,N,10
176,37,146000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,10000,13.99,0,0.07,Y,16
177,36,55000,RENT,1.0,EDUCATION,D,9500,15.62,1,0.17,N,12
178,26,42996,RENT,10.0,MEDICAL,B,8500,10.2,0,0.2,N,2
179,21,30000,RENT,6.0,DEBTCONSOLIDATION,A,9200,6.62,1,0.31,N,3
180,25,42996,RENT,6.0,DEBTCONSOLIDATION,B,5000,10.38,0,0.12,N,2
181,34,100000,MORTGAGE,7.0,EDUCATION,A,12000,7.49,0,0.12,N,6
182,28,30000,RENT,0.0,VENTURE,A,9600,10.99,1,0.32,N,7
183,21,42500,RENT,0.0,DEBTCONSOLIDATION,B,2500,10.99,0,0.06,N,4
184,31,54000,MORTGAGE,12.0,MEDICAL,A,15000,8.49,1,0.28,N,6
185,26,38000,RENT,10.0,VENTURE,B,10000,10.99,0,0.26,N,3
186,23,120000,RENT,2.0,EDUCATION,A,5000,10.99,0,0.04,N,4
187,29,60000,RENT,13.0,PERSONAL,C,2075,15.23,0,0.03,N,7
188,29,110000,MORTGAGE,1.0,EDUCATION,E,12800,16.82,0,0.12,N,6
189,26,60000,RENT,7.0,VENTURE,C,12800,12.84,0,0.21,N,2
190,24,57431,MORTGAGE,8.0,PERSONAL,A,4000,6.76,0,0.07,N,3
191,26,20004,MORTGAGE,4.0,HOMEIMPROVEMENT,B,3600,10.99,0,0.18,N,2
192,31,81000,RENT,1.0,PERSONAL,D,15000,14.42,1,0.19,N,6
193,22,45449,RENT,6.0,MEDICAL,B,12000,10.99,1,0.26,N,4
194,22,72000,RENT,6.0,EDUCATION,E,15000,17.19,0,0.21,N,4
195,33,83000,RENT,0.0,DEBTCONSOLIDATION,B,21000,11.71,1,0.25,N,7
196,37,88000,MORTGAGE,21.0,VENTURE,A,12000,7.51,0,0.14,N,17
197,28,50000,MORTGAGE,12.0,VENTURE,B,3000,10.36,0,0.06,N,7
198,24,156000,MORTGAGE,8.0,EDUCATION,B,15000,10.25,0,0.1,N,3
199,28,65000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,5000,6.92,0,0.08,N,5
200,26,75000,MORTGAGE,2.0,VENTURE,A,4000,5.79,0,0.05,N,3
201,24,33000,MORTGAGE,3.0,PERSONAL,E,1250,19.29,0,0.04,N,4
202,41,34560,RENT,8.0,DEBTCONSOLIDATION,D,7550,16.89,1,0.22,N,14
203,27,45000,RENT,4.0,MEDICAL,C,10000,14.22,0,0.22,Y,6
204,24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3
205,38,55000,OWN,5.0,HOMEIMPROVEMENT,A,15600,7.9,0,0.28,N,15
206,23,97000,MORTGAGE,7.0,EDUCATION,A,4800,10.99,0,0.05,N,2
207,23,90000,MORTGAGE,7.0,VENTURE,A,4900,6.99,0,0.05,N,2
208,22,37308,MORTGAGE,0.0,PERSONAL,B,8400,9.99,0,0.23,N,4
209,37,22800,OWN,18.0,EDUCATION,A,7000,6.03,0,0.31,N,12
210,22,32400,RENT,7.0,PERSONAL,C,4800,13.98,1,0.15,Y,2
211,28,34000,RENT,1.0,VENTURE,B,4800,11.49,0,0.14,N,7
212,26,105000,OWN,0.0,EDUCATION,A,10000,7.49,0,0.1,N,2
213,35,41000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,8000,10.83,0,0.2,N,6
214,29,119500,MORTGAGE,6.0,HOMEIMPROVEMENT,C,6800,13.16,0,0.06,Y,10
215,26,52000,RENT,3.0,EDUCATION,B,8000,10.25,0,0.15,N,4
216,22,60000,RENT,5.0,PERSONAL,D,10900,15.65,0,0.18,N,2
217,45,33600,RENT,8.0,VENTURE,D,11300,12.17,1,0.34,N,11
218,31,38000,OWN,8.0,EDUCATION,C,6600,13.47,0,0.17,N,5
219,23,64000,MORTGAGE,4.0,VENTURE,A,5550,7.29,0,0.09,N,4
220,26,64000,RENT,4.0,DEBTCONSOLIDATION,B,1000,10.75,0,0.02,N,2
221,38,62000,RENT,3.0,DEBTCONSOLIDATION,B,12000,10.99,0,0.19,N,16
222,22,34800,RENT,4.0,DEBTCONSOLIDATION,B,4000,10.74,0,0.11,N,3
223,48,92000,RENT,1.0,PERSONAL,A,4800,7.88,0,0.05,N,17
224,23,50000,MORTGAGE,6.0,EDUCATION,B,17000,12.42,0,0.34,N,3
225,23,148000,RENT,1.0,DEBTCONSOLIDATION,E,25000,14.93,1,0.17,N,3
226,28,75000,MORTGAGE,6.0,HOMEIMPROVEMENT,A,10500,10.99,0,0.14,N,9
227,27,45600,MORTGAGE,6.0,VENTURE,A,15350,8.9,0,0.34,N,10
228,25,80000,RENT,7.0,EDUCATION,B,20000,8.88,0,0.25,N,4
229,24,53000,RENT,3.0,HOMEIMPROVEMENT,B,2000,10.36,0,0.04,N,2
230,29,48000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,20000,11.36,0,0.42,N,10
231,40,38000,RENT,4.0,DEBTCONSOLIDATION,D,7000,15.99,1,0.18,N,16
232,23,48000,RENT,3.0,MEDICAL,A,4800,5.42,0,0.1,N,3
233,22,70500,RENT,3.0,PERSONAL,C,21000,13.98,0,0.3,Y,4
234,23,70000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,3500,5.42,0,0.05,N,2
235,26,94500,OWN,10.0,VENTURE,A,2000,5.42,0,0.02,N,2
236,24,39000,RENT,4.0,HOMEIMPROVEMENT,C,8000,10.99,1,0.21,N,2
237,40,21408,MORTGAGE,4.0,HOMEIMPROVEMENT,B,1500,11.12,0,0.07,N,14
238,24,86854,RENT,8.0,VENTURE,A,4500,10.99,0,0.05,N,4
239,25,24996,RENT,1.0,PERSONAL,C,4200,14.26,0,0.17,Y,2
240,32,89000,RENT,0.0,MEDICAL,A,12000,8.94,0,0.13,N,6
241,26,135660,RENT,10.0,DEBTCONSOLIDATION,B,25000,12.53,0,0.18,N,4
242,39,101000,MORTGAGE,17.0,EDUCATION,C,2500,13.47,0,0.02,Y,17
243,25,134748,MORTGAGE,4.0,HOMEIMPROVEMENT,B,25000,10.75,0,0.19,N,3
244,24,100000,MORTGAGE,1.0,VENTURE,A,5000,10.99,0,0.05,N,3
245,25,89000,MORTGAGE,9.0,MEDICAL,A,14000,7.49,0,0.16,N,2
246,35,42300,RENT,3.0,PERSONAL,C,5500,13.06,0,0.13,N,8
247,28,42000,MORTGAGE,12.0,VENTURE,A,11000,5.42,0,0.26,N,7
248,30,95000,MORTGAGE,0.0,PERSONAL,D,6000,15.99,0,0.06,Y,7
249,49,45000,RENT,8.0,PERSONAL,C,10000,14.22,0,0.22,N,12
250,26,30720,RENT,5.0,DEBTCONSOLIDATION,A,10000,7.88,1,0.33,N,2
251,25,45000,RENT,9.0,DEBTCONSOLIDATION,B,12000,9.62,0,0.27,N,3
252,22,29000,RENT,7.0,MEDICAL,B,9000,10.99,1,0.31,N,2
253,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4
254,23,105000,MORTGAGE,7.0,VENTURE,B,12000,11.36,0,0.11,N,2
255,27,62900,MORTGAGE,1.0,MEDICAL,B,8000,11.46,1,0.11,N,8
256,24,41745,RENT,2.0,PERSONAL,A,3200,9.63,0,0.08,N,3
257,25,50000,MORTGAGE,5.0,PERSONAL,D,7500,13.8,0,0.15,Y,4
258,28,139913,MORTGAGE,7.0,HOMEIMPROVEMENT,A,5375,8.94,0,0.04,N,6
259,41,76000,MORTGAGE,17.0,HOMEIMPROVEMENT,A,4800,5.42,0,0.06,N,16
260,25,74004,RENT,2.0,VENTURE,E,20000,15.95,1,0.27,N,3
261,24,55000,RENT,8.0,PERSONAL,A,4800,6.92,0,0.09,N,3
262,30,22452,RENT,2.0,VENTURE,A,12000,7.29,1,0.53,N,5
263,29,480000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6500,5.42,0,0.01,N,9
264,32,73527,MORTGAGE,11.0,EDUCATION,B,12000,12.42,0,0.16,N,7
265,26,65000,MORTGAGE,2.0,VENTURE,D,8000,17.27,0,0.12,Y,3
266,24,45996,RENT,3.0,EDUCATION,C,2000,12.98,0,0.04,Y,4
267,28,37500,RENT,4.0,DEBTCONSOLIDATION,C,12000,10.99,1,0.32,N,9
268,26,58000,MORTGAGE,0.0,VENTURE,B,11600,11.99,0,0.2,N,3
269,24,28800,RENT,0.0,HOMEIMPROVEMENT,C,2400,14.26,1,0.08,Y,4
270,30,105000,RENT,4.0,VENTURE,D,24250,15.65,0,0.23,N,10
271,28,50000,RENT,2.0,VENTURE,A,14000,6.54,0,0.28,N,6
272,45,66000,RENT,4.0,HOMEIMPROVEMENT,B,13650,12.42,0,0.21,N,11
273,34,39996,RENT,1.0,PERSONAL,A,5000,7.51,0,0.13,N,6
274,26,80004,MORTGAGE,7.0,DEBTCONSOLIDATION,C,7500,15.23,1,0.09,Y,2
275,26,36000,MORTGAGE,2.0,PERSONAL,A,7000,7.49,0,0.19,N,2
276,34,180000,MORTGAGE,9.0,PERSONAL,C,12900,12.99,0,0.07,Y,8
277,35,32000,RENT,4.0,DEBTCONSOLIDATION,A,14500,6.17,1,0.45,N,5
278,24,51500,RENT,8.0,EDUCATION,A,15000,8.49,0,0.29,N,2
279,25,34000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,2000,7.66,1,0.06,N,4
280,26,54200,MORTGAGE,3.0,HOMEIMPROVEMENT,A,7000,7.49,0,0.13,N,3
281,24,72000,RENT,3.0,PERSONAL,E,10000,10.99,0,0.14,Y,4
282,29,72000,MORTGAGE,5.0,PERSONAL,A,10000,6.17,0,0.14,N,10
283,23,39000,RENT,2.0,HOMEIMPROVEMENT,D,10000,15.2,1,0.26,N,4
284,28,65000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,2000,7.49,0,0.03,N,6
285,27,65000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,10000,12.53,0,0.15,N,7
286,24,29000,MORTGAGE,1.0,MEDICAL,D,6000,15.62,1,0.21,N,3
287,24,31200,OWN,8.0,PERSONAL,B,10000,12.18,0,0.32,N,2
288,32,37300,RENT,2.0,VENTURE,B,5000,12.53,0,0.13,N,9
289,24,37200,RENT,8.0,DEBTCONSOLIDATION,A,7200,7.9,0,0.19,N,4
290,21,35000,MORTGAGE,5.0,EDUCATION,B,1500,9.63,0,0.04,N,2
291,24,30000,OWN,7.0,HOMEIMPROVEMENT,C,10000,12.61,0,0.33,N,3
292,25,49200,MORTGAGE,6.0,MEDICAL,A,5600,7.49,0,0.11,N,2
293,23,39000,RENT,7.0,MEDICAL,B,12000,10.83,1,0.31,N,3
294,22,28000,RENT,3.0,EDUCATION,B,3200,10.59,0,0.11,N,2
295,22,53000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,7750,7.14,0,0.15,N,4
296,22,38000,RENT,2.0,DEBTCONSOLIDATION,F,6400,20.62,1,0.17,N,3
297,28,30000,MORTGAGE,4.0,MEDICAL,A,4750,7.9,0,0.16,N,7
298,25,31000,RENT,5.0,DEBTCONSOLIDATION,D,9600,16.77,1,0.31,N,3
299,32,37400,RENT,0.0,DEBTCONSOLIDATION,B,4000,10.38,0,0.11,N,7
300,24,39000,RENT,8.0,MEDICAL,D,1500,15.62,0,0.04,Y,3
301,27,51298,RENT,11.0,VENTURE,B,1000,10.37,0,0.02,N,9
302,21,23000,RENT,5.0,PERSONAL,C,6250,13.48,0,0.27,Y,3
303,24,79800,RENT,8.0,HOMEIMPROVEMENT,B,2500,9.62,0,0.03,N,2
304,42,82000,RENT,10.0,VENTURE,D,12000,13.24,0,0.15,Y,13
305,34,65000,MORTGAGE,17.0,PERSONAL,B,10000,11.36,0,0.15,N,7
306,38,59000,RENT,5.0,VENTURE,C,14000,13.8,1,0.24,N,14
307,24,100400,MORTGAGE,6.0,HOMEIMPROVEMENT,E,10000,16.4,0,0.1,Y,4
